tag,make,model,permit,lot,valid
RHJ6211,Honda,Civic,W3142321,West,1
PBD3346,Acura,TL,W4712832,West,1
BC0Z19,Honda,Civic,W7219384,West,0
CAZ9240,Lexus,RX330,W6621821,West,1
CFK3123,Honda,Civic,W9345998,West,1
CHX5577,Volvo,XC90,W1212875,West,1
RHD6702,Nissan,Rogue,W3299232,West,1
BYN9069,Mercedes,C300,W8900211,West,1
RHX8118,Ford,Taurus,W4441000,West,0
ARC1173,Honda,Odyssey,W8912891,West,1
CIX3853,Volvo,S60,W4821898,West,1
RUN4FN,Honda,Accord,W9911213,West,0
CGQ8696,Lincoln,MKT,W9393331,West,1
430GZD,Honda,Prelude,W8712002,West,1
CIV3005,GMC,Yukon,W9821895,West,1
PBD3616,Toyota,Rav4,W8711012,West,1
PWE1824,Subaru,Forester,W8912859,West,1
CJB4596,Honda,CR-V,W8999111,West,1
CEU8631,Cadillac,Escalade,W1231231,West,1
BQN9117,Toyota,Tacoma,W5876442,West,1
ABU3363,Honda,Accord,W7638912,West,1
PTK2838,Toyota,Camry,W3900921,West,0
PDB2498,Honda,CR-V,W9313427,West,1
